domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein alarma galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein alarma galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein alerta galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein alerta galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein ekitaldi galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein ekitaldi galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein gogorarazpen galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein gogorarazpen galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein tenporizadore galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zein tenporizadore galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer alarma galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer alarma galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer alerta galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer alerta galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer ekitaldi galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer ekitaldi galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer gogorarazpen galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer gogorarazpen galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer tenporizadore galdu dut?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","zer tenporizadore galdu nuen?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako alarmaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako alarmarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako alertaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako alertarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako ekitaldiren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako ekitaldirik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako gogorarazpenen bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako gogorarazpenik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako tenporizadoreren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dago galdutako tenporizadorerik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako alarmaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako alarmarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako alertaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako alertarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako ekitaldiren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako ekitaldirik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako gogorarazpenen bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako gogorarazpenik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako tenporizadoreren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al dut galdutako tenporizadorerik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako alarmaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako alarmarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako alertaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako alertarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako ekitaldiren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako ekitaldirik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako gogorarazpenen bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako gogorarazpenik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako tenporizadoreren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al nuen galdutako tenporizadorerik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako alarmaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako alarmarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako alertaren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako alertarik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako ekitaldiren bat?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako ekitaldirik?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ba al zegoen galdutako gogorarazpenen bat?"
